EventID,LocationID,Species,VoucherNo,ModNo,CovCode,Comments
CUVAWetlnd2023Jun27,CUVAWetlnd141,Geum laciniatum,,2,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Cornus obliqua,,2,2,Cornus obliqua
CUVAWetlnd2023Jun27,CUVAWetlnd141,Fraxinus pennsylvanica,,2,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Leersia oryzoides,,2,2,
CUVAWetlnd2023Jun27,CUVAWetlnd141,Cicuta bulbifera,,2,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Phalaris arundinacea,,3,7,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Lysimachia nummularia,,3,9,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Salix exigua,,3,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Solidago gigantea,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Solidago altissima,,3,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Apocynum cannabinum,,3,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Asclepias syriaca,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Galium asprellum,,3,7,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Agrostic gigantea,,3,5,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Poa pratensis,,3,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex festucacea,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex vulpinoidea,,3,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex cristatella,,3,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Rosa multiflora,,3,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Teucrium canadense,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Geum laciniatum,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Vernonia gigantea,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Vicia tetrasperma,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Cirsium arvense,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Lycopus americanus,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Lythrum salicaria,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Fraxinus pennsylvanica,,3,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex sp. 1,,3,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Iris pseudacorus,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Agrostis stolonifera,,3,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Vitis riparia,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Parthenocissus quinquefolia,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Toxicodendron radicans,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Euthamia graminifolia,,3,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Symphyotrichum lateriflorum,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Allium canadense,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Crataegus sp.,,3,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Salix exigua,,4,7,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Phalaris arundinacea,,4,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex vulpinoidea,,4,7,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Lysimachia nummularia,,4,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Epilobium coloratum,,3,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Cirsium arvense,,4,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Iris pseudacorus,,4,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Apocynum cannabinum,,4,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Vernonia gigantea,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Fraxinus pennsylvanica,,4,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Asclepias incarnata,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Galium asprellum,,4,8,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Rosa multiflora,,4,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Solidago altissima,,4,5,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Rosa setigera,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Myosotis laxa,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Myosotis scorpioides,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Torilis japonica,,4,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Zizia aurea,,4,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Vicia tetrasperma,,4,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Elymus sp.,,3,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Agrostis stolonifera,,4,5,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Epilobium coloratum,,4,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Lycopus americanus,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Ulmus americana,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Juncus tenuis,,4,5,Vouchered
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex cristatella,,4,5,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Symphyotrichum lateriflorum,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Gleditsia triacanthos,,4,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Euthamia graminifolia,,4,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Teucrium canadense,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Rhamnus frangula,,4,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Poa pratensis,,4,6,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Toxicodendron radicans,,4,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Elymus sp.,,4,1,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Agrostic gigantea,,4,4,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex festucacea,,4,2,Vouchered
CUVAWetlnd2023Jun28,CUVAWetlnd141,Cornus obliqua,,4,2,Cornus obliqua
CUVAWetlnd2023Jun28,CUVAWetlnd141,Geum laciniatum,,4,3,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Carex granularis,,4,2,
CUVAWetlnd2023Jun28,CUVAWetlnd141,Juncus acuminatus,,4,2,Vouchered
CUVAWetlnd2023Jun28,CUVAWetlnd141,Lathyrus latifolius,,4,3,Lathyrus latifolius
CUVAWetlnd2023Jun29,CUVAWetlnd145,Phalaris arundinacea,,2,4,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Elymus sp.,,2,3,Likely riparius
CUVAWetlnd2023Jun29,CUVAWetlnd145,Polygonum virginianum,,2,7,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Matteuccia struthiopteris,,2,7,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Alliaria petiolata,,2,6,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Rosa multiflora,,2,4,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Circaea lutetiana,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Duchesnea indica,,2,5,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Aegopodium podagraria,,2,4,Aegopodium podagraria
CUVAWetlnd2023Jun29,CUVAWetlnd145,Poa sp.,,2,5,Vouchered ligule present
CUVAWetlnd2023Jun29,CUVAWetlnd145,Solidago gigantea,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Arisaema dracontium,,2,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Diarrhena americana,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Solidago flexicaulis,,2,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Hesperis matronlis,,2,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Carex blanda,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Fraxinus pennsylvanica,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Geum canadense,,2,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Toxicodendron radicans,,2,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Lysimachia nummularia,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Viola sororia,,2,2,Vouchered basalt
CUVAWetlnd2023Jun29,CUVAWetlnd145,Vernonia altissima,,2,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Acer negundo,,2,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Polygonum virginianum,,3,7,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Aegopodium podagraria,,3,8,Aegopodium podagraria
CUVAWetlnd2023Jun29,CUVAWetlnd145,Vernonia altissima,,3,5,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Matteuccia struthiopteris,,3,6,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Solidago gigantea,,3,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Phalaris arundinacea,,3,4,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Ulmus americana,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Rosa multiflora,,3,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Diarrhena americana,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Poa sp.,,3,5,Same as mod 2
CUVAWetlnd2023Jun29,CUVAWetlnd145,Duchesnea indica,,3,5,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Viola sororia,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Elymus riparius,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Fraxinus pennsylvanica,,3,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Arisaema dracontium,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Alliaria petiolata,,3,6,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Lysimachia nummularia,,3,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Allium canadense,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Sicyos angulatus,,3,1,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Toxicodendron radicans,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Acer negundo,,3,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Matteuccia struthiopteris,,8,6,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Circaea lutetiana,,3,4,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Aegopodium podagraria,,8,9,Aegopodium podagraria
CUVAWetlnd2023Jun29,CUVAWetlnd145,Phalaris arundinacea,,8,4,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Vernonia altissima,,8,4,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Solidago gigantea,,8,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Circaea lutetiana,,8,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Duchesnea indica,,8,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Geum canadense,,8,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Toxicodendron radicans,,8,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Acer negundo,,8,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Vernonia altissima,,9,6,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Rosa multiflora,,9,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Aegopodium podagraria,,9,9,Aegopodium podagraria
CUVAWetlnd2023Jun29,CUVAWetlnd145,Loniciera maackii,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Polygonum virginianum,,9,5,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Fraxinus pennsylvanica,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Elymus riparius,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Lysimachia nummularia,,9,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Impatiens capensis,,9,1,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Impatiens capensis,,8,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Elymus riparius,,8,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Viola sororia,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Poa sp.,,9,4,Same
CUVAWetlnd2023Jun29,CUVAWetlnd145,Carex blanda,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Alliaria petiolata,,9,5,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Toxicodendron radicans,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Circaea lutetiana,,9,3,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Acer negundo,,9,2,
CUVAWetlnd2023Jun29,CUVAWetlnd145,Phalaris arundinacea,,9,4,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Phragmites australis subsp. Australis,,1,10,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Phragmites australis subsp. Australis,,2,10,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Solanum dulcamara,,2,1,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Dicot sp.,,2,1,Dicot sp(likely acer rubrum)
CUVAWetlnd2023Jun29,CUVAWetlnd140,Phragmites australis subsp. Australis,,3,10,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Dicot sp. 2,,3,1,Dicot 2 cotyledon
CUVAWetlnd2023Jun29,CUVAWetlnd140,Impatiens sp.,,3,1,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Dicot sp. 1,,3,1,Dicot 1
CUVAWetlnd2023Jun29,CUVAWetlnd140,Phragmites australis subsp. Australis,,4,10,
CUVAWetlnd2023Jun29,CUVAWetlnd140,Dicot sp. 1,,10,1,Dicot 1
CUVAWetlnd2023Jun29,CUVAWetlnd140,Celastrus orbiculatus,,3,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Phalaris arundinacea,,2,10,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Impatiens sp.,,2,5,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Bidens sp 1,,2,2,3 to 5 leaflets
CUVAWetlnd2023Jul06,CUVAWetlnd143,Polygonum persicaria,,2,3,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Rosa multiflora,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Rumex obtusifolius,,2,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Amphicarpaea bracteata,,2,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Pilea pumila,,2,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Leersia virginica,,2,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Glechoma hederacea,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Oxalis stricta,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Cryptotaenia canadensis,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Alliaria petiolata,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Geum sp.,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Equisetum arvense,,2,3,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Myosotis scorpioides,,2,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Artemisia sp.,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Plantago major,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Erechtites hieracifolia,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Dipsacus fullonum,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Dicot sp.,,2,1,Dicot sp.
CUVAWetlnd2023Jul06,CUVAWetlnd143,Daucus carota,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Chenopodium sp.,,2,2,Chenopodium sp.
CUVAWetlnd2023Jul06,CUVAWetlnd143,Ranunculus sp.,,2,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Phalaris arundinacea,,3,10,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Cardamine sp.,,3,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Impatiens sp.,,3,5,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Phalaris arundinacea,,8,10,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Celastrus orbiculatus,,8,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Polygonum persicaria,,8,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Equisetum arvense,,8,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Equisetum arvense,,3,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Polygonum persicaria,,3,2,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Impatiens sp.,,8,4,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Phalaris arundinacea,,9,10,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Pilea pumila,,9,1,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Iris pseudacorus,,9,3,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Onoclea sensibilis,,9,3,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Dicot sp.,,9,1,Seedling
CUVAWetlnd2023Jul06,CUVAWetlnd143,Equisetum arvense,,9,4,
CUVAWetlnd2023Jul06,CUVAWetlnd143,Impatiens sp.,,9,5,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Calystegia sepium,,2,1,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha angustifolia,,2,4,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha latifolia,,2,1,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Boehmeria cylindrica,,2,1,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Acer sp.,,2,1,Seedling
CUVAWetlnd2023Jul07,CUVAWetlnd144,Poa sp.,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Dicot sp.,,2,2,Dicot sp.
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phragmites australis subsp. Australis,,2,9,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phalaris arundinacea,,2,5,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Scutellaria lateriflora,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Salix nigra,,2,10,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha x glauca,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phragmites australis subsp. Australis,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phalaris arundinacea,,3,8,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Erechtites hieracifolia,,3,1,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha angustifolia,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha x glauca,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Dicot sp.,,3,3,Dicot sp.
CUVAWetlnd2023Jul07,CUVAWetlnd144,Monocot sp.,,3,2,Monocot sp
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha latifolia,,3,3,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Scutellaria lateriflora,,3,2,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Salix exigua,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phragmites australis subsp. Australis,,8,5,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phalaris arundinacea,,8,9,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha angustifolia,,8,5,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha x glauca,,8,3,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Salix exigua,,8,7,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Dicot sp,,8,2,Dicot sp
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phragmites australis subsp. Australis,,9,9,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Phalaris arundinacea,,9,6,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Typha angustifolia,,9,4,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Impatiens sp.,,9,3,
CUVAWetlnd2023Jul07,CUVAWetlnd144,Salix exigua,,9,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Phalaris arundinacea,,2,5,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Elymus virginicus,,2,5,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Scutellaria lateriflora,,2,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Myosotis scorpioides,,2,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Toxicodendron radicans,,2,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Glyceria striata,,2,6,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Cinna arundinacea,,2,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Polygonum persicaria,,2,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Lysimachia nummularia,,2,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Carex tribuloides,,2,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Agrostis stolonifera,,2,5,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Rosa multiflora,,2,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Fraxinus pennsylvanica,,2,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Cardamine sp.,,2,2,Voucher
CUVAWetlnd2023Jul07,CUVAWetlnd156,Polygonum sp.,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Solidago gigantea,,2,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Acer negundo,,2,6,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Acer rubrum,,2,1,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Carex intumescens,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Leersia virginica,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Impatiens sp.,,2,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Geum canadense,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Iris pseudacorus,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Viburnum dentatum,,2,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Phalaris arundinacea,,3,5,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Elymus virginicus,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Solidago gigantea,,3,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Toxicodendron radicans,,3,5,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Rosa multiflora,,3,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Ligustrum vulgare,,3,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Aegopodium podagraria,,3,6,Aegopodium podagraria
CUVAWetlnd2023Jul07,CUVAWetlnd156,Polygonum persicaria,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Impatiens capensis,,3,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Boehmeria cylindrica,,3,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Carex intumescens,,3,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Leersia virginica,,3,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Polygonum sp.,,3,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Carex crinita,,3,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Sisymbrium altissimum,,3,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Lysimachia nummularia,,3,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Carya cordiformis,,3,1,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Scutellaria lateriflora,,3,4,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Geum canadense,,3,2,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Myosotis scorpioides,,3,3,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Agrostis stolonifera,,3,6,
CUVAWetlnd2023Jul07,CUVAWetlnd156,Carex tribuloides,,3,3,
