EventID,LocationID,FeatureID,Species,VoucherNo,ModNo,CovCode,Comments
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Thelypteris palustris,,1,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Eupatorium perfoliatum,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Symplocarpus foetidus,,1,8,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Leersia oryzoides,,1,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Cornus amomum,,1,5,Obliqua
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix sericea,,1,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Symphyotrichum puniceum,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Impatiens capensis,,1,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Solidago patula,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Onoclea sensibilis,,1,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Myosotis scorpioides,,1,8,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Sagittaria latifolia,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Poa sp.,,2,4,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Amphicarpaea bracteata,,4,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ranunculus septentrionalis,,1,3,Ranunculus septentrionalis
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carex bromoides,,1,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Juncus effusus,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix discolor,,1,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Equisetum arvense,,1,1,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lonicera dioica,,1,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Corylus americana,,1,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ligustrum vulgare,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carex stipata,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Typha latifolia,,1,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Pilea pumila,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Mentha arvensis,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Liparis loesellli,,1,3,Liparis loesellli
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Epilobium parviflorum,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Chelone glabra,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Parthenocissus quinquefolia,,1,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Cirsium muticum,,1,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lindera benzoin,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ribes americanum,,1,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lycopus uniflorus,,1,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Impatiens capensis,,4,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Symphyotrichum puniceum,,4,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Cornus amomum,,4,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Galium asprellum,,4,3,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Carex bromoides,,4,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Eupatorium perfoliatum,,4,4,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Ribes americanum,,4,6,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Carex lurida,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Parthenocissus quinquefolia,,4,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Pilea pumila,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Leersia oryzoides,,4,4,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Chelone glabra,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Typha latifolia,,4,4,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Scutellaria lateriflora,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Apios americana,,4,6,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Sagittaria latifolia,,4,6,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Onoclea sensibilis,,4,3,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Circaea lutetiana,,4,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Apios americana,,1,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Ranunculus hispidus var. nitidus,,4,2,Ranunculus septentrionalis
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Epilobium parviflorum,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Schoenoplectus tabernaemontani,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Cryptotaenia canadensis,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Cirsium muticum,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Carpinus caroliniana,,4,4,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Fraxinus pennsylvanica,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Salix sericea,,4,8,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Liparis loesellii,,4,2,Liparis loesellii
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Boehmeria cylindrica,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Epilobium coloratum,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Toxicodendron radicans,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Solidago patula,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Salix nigra,,4,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Viburnum lentago,,4,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Symplocarpus foetidus,,3,8,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lonicera morrowii,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Rosa multiflora,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lindera benzoin,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Galium triflorum,,3,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ligustrum vulgare,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Galium asprellum,,3,2,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Asclepias incarnata,,4,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Symphyotrichum puniceum,,3,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix discolor,,3,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carpinus caroliniana,,3,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Parthenocissus quinquefolia,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Cornus amomum,,3,7,Obliqua
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Epilobium parviflorum,,3,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Apios americana,,3,7,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Leersia oryzoides,,2,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Impatiens capensis,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Sagittaria latifolia,,3,4,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix discolor,,2,4,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Thelypteris palustris,,4,8,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Symplocarpus foetidus,,4,8,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Onoclea sensibilis,,3,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Pilea pumila,,3,1,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Lysimachia nummularia,,3,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Eupatorium perfoliatum,,3,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Senecio aureus,,3,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix nigra,,3,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Thelypteris palustris,,3,5,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Boehmeria cylindrica,,3,2,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Salix sericea,,3,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Leersia oryzoides,,3,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Poa sp.,,3,3,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Ribes americanum,,3,5,
CUVAWetlnd2023Jul21,CUVAWetlnd127,241K (VK3),Myosotis scorpioides,,4,6,
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carex sp. 1,,3,2,Staminate scales on too
CUVAWetlnd2023Jul18,CUVAWetlnd127,241K (VK3),Carpinus caroliniana,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Dioscorea villosa,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Leersia oryzoides,,2,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Asclepias syriaca,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rubus pensylvanicus,,2,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Ranunculus hispidus var. nitidus,,2,4,Ranunculus septentrionalis
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Eupatorium maculatum,,2,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Blephilia hirsuta,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Carex bromoides,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rhamnus frangula,,2,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Urtica dioica var. dioica,,6,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Scirpus polyphyllus,,2,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Toxicodendron radicans,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Solidago gigantea,,2,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Ulmus americana,,2,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Cornus obliqua,,2,5,Cornus obliqua but some treeform and similar to drummundi
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Lonicera morrowii,,2,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symplocarpus foetidus,,2,8,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symphyotrichum lateriflorum,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Elymus virginicus,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Geum canadense,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Apios americana,,2,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Vernonia altissima,,2,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Sambucus canadensis,,2,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Impatiens capensis,,2,9,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Leersia virginica,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Solidago gigantea,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Viburnum recognitum,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rudbeckia laciniata,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Carex sp. 2,,1,2,Likely vulpinoidea
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Sagittaria latifolia,,2,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Lonicera morrowii,,3,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Polygonum persicaria,,3,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Cornus obliqua,,3,2,Cornus obliqua same comment
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symphyotrichum lanceolatum,,3,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symphyotrichum lateriflorum,,3,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Onoclea sensibilis,,3,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Lysimachia ciliata,,3,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rumex obtusifolius,,3,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Vitis riparia,,3,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Impatiens capensis,,3,7,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Apios americana,,3,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Parthenocissus quinquefolia,,3,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Calystegia sepium,,3,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Eupatorium maculatum,,3,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Parthenocissus quinquefolia,,2,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Vernonia altissima,,3,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Lysimachia nummularia,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Onoclea sensibilis,,2,8,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Alliaria petiolata,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Viburnum recognitum,,2,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Viola sororia,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Circaea lutetiana,,3,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rosa multiflora,,2,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rubus pensylvanicus,,3,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Geranium maculatum,,3,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symplocarpus foetidus,,3,8,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Urtica dioica var. dioica,,3,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Solidago gigantea,,3,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Boehmeria cylindrica,,3,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Calystegia sepium,,2,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Boehmeria cylindrica,,2,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Glyceria striata,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Ribes americanum,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Equisetum arvense,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Pilea pumila,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Polygonum persicaria,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Eupatorium maculatum,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Vitis riparia,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Apios americana,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Calystegia sepium,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Platanus occidentalis,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Oxalis stricta,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Solidago altissima,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Epilobium coloratum,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Onoclea sensibilis,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symplocarpus foetidus,,1,7,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Hackelia virginiana,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Sambucus canadensis,,1,6,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Solidago patula,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Teucrium canadense,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Verbena urticifolia,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rumex obtusifolius,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Impatiens capensis,,1,9,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Cornus obliqua,,1,6,Cornus obliqua
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Typha latifolia,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symphyotrichum lanceolatum,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Panicum clandestinum,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Ranunculus hispidus var. nitidus,,1,2,Ranunculus septentrionalis
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Circaea lutetiana,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Asclepias syriaca,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Carex sp. 1,,1,2,Likely crinita
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Parthenocissus quinquefolia,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Eupatorium perfoliatum,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Lonicera morrowii,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Vernonia gigantea,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Vernonia altissima,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rubus pensylvanicus,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Galium asprellum,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Rosa multiflora,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Lysimachia ciliata,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Ulmus americana,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Sagittaria latifolia,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Dioscorea villosa,,1,4,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Agrimonia parviflora,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Salix nigra,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Symphyotrichum lateriflorum,,1,2,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Boehmeria cylindrica,,1,3,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Leersia oryzoides,,1,5,
CUVAWetlnd2023Jul14,CUVAWetlnd128,241VK4,Elymus virginicus,,1,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Epilobium coloratum,,3,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Onoclea sensibilis,,3,5,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Symplocarpus foetidus,,3,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Vitis riparia,,3,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Impatiens capensis,,3,4,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Cornus obliqua,,3,5,Cornus obliqua
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Lysimachia nummularia,,2,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Asclepias incarnata,,2,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Chelone glabra,,3,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Parthenocissus quinquefolia,,2,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Mentha arvensis,,2,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Myosotis scorpioides,,2,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Scutellaria lateriflora,,4,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Typha latifolia,,3,10,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Myosotis scorpioides,,4,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Epilobium coloratum,,4,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Rosa multiflora,,4,4,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Apocynum cannabinum,,4,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Cirsium arvense,,4,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Parthenocissus quinquefolia,,4,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Lonicera japonica,,4,5,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Solidago altissima,,4,3,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Impatiens capensis,,4,6,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Cornus obliqua,,4,3,Cornus obliqua
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Symplocarpus foetidus,,4,4,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Typha angustifolia,,4,9,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Viburnum recognitum,,2,5,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Galium aparine,,2,2,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Onoclea sensibilis,,4,5,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Onoclea sensibilis,,1,7,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Typha angustifolia,,1,9,
CUVAWetlnd2023Jul13,CUVAWetlnd129,242VK1,Salix sp.,,2,5,Discolor?
