VIBI_Woody_ID,EventID,LocationID,FeatureID,Module_No,Scientific_Name,DiamID,Count
82,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Liriodendron tulipifera,C3,1
83,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Rosa multiflora,C0,14
84,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Rosa multiflora,C1,1
85,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Rosa multiflora,C2,4
86,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Rosa multiflora,C3,2
87,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Rubus allegheniensis,C1,3
88,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Vitis riparia,C1,3
89,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Cornus racemosa,C1,4
90,CUVAWetlnd2015Jun22,CUVAWetlnd183,309,3,Cornus racemosa,C2,11
91,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Fraxinus nigra,C4,2
92,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Fraxinus nigra,C7,1
93,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Fraxinus nigra,C8,1
94,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Ulmus rubra,C1,1
95,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Ulmus rubra,C2,1
96,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Ulmus rubra,C3,2
97,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Ulmus rubra,C4,4
98,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Ulmus rubra,C5,3
99,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Quercus macrocarpa,C5,1
100,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Quercus macrocarpa,C9,1
101,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Fraxinus pennsylvanica,C3,2
102,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Standing dead,C1,1
103,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,1,Standing dead,C2,6
104,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Ulmus rubra,C2,7
105,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Ulmus rubra,C3,12
106,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Ulmus rubra,C4,8
107,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Ulmus rubra,C7,1
108,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Platanus occidentalis,BIG,1
109,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Quercus macrocarpa,C6,1
110,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus nigra,C2,1
111,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus nigra,C3,3
112,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus nigra,C5,1
113,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus nigra,C6,1
114,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus pennsylvanica,C1,1
115,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus pennsylvanica,C3,8
116,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus pennsylvanica,C4,4
117,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus pennsylvanica,C6,1
118,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Fraxinus pennsylvanica,C7,1
119,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Standing dead,C1,1
120,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Standing dead,C2,5
121,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Standing dead,C3,7
122,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,2,Parthenocissus quinquefolia,C1,1
123,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Ulmus rubra,C2,5
124,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Ulmus rubra,C3,9
125,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Ulmus rubra,C4,7
126,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Ulmus rubra,C5,5
127,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Ulmus rubra,C6,2
128,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Fraxinus pennsylvanica,C1,2
129,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Fraxinus pennsylvanica,C2,7
130,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Fraxinus pennsylvanica,C3,8
131,CUVAWetlnd2011Aug24,CUVAWetlnd139,526SB3,3,Fraxinus pennsylvanica,C4,2
135,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,1,Acer rubrum,C6,1
136,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,1,Acer rubrum,C4,2
137,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,1,Acer rubrum,C5,3
138,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,1,Acer rubrum,C9,1
139,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,1,Acer rubrum,C10,1
140,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Acer rubrum,C4,2
141,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Acer rubrum,C7,1
142,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Acer rubrum,C6,1
143,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Quercus bicolor,C10,1
144,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Cephalanthus occidentalis,C1,7
145,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Cephalanthus occidentalis,C0,3
146,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Cephalanthus occidentalis,C2,1
147,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,2,Cephalanthus occidentalis,C3,1
148,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Ulmus americana,C6,1
149,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Ulmus americana,C4,1
150,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Cephalanthus occidentalis,C3,1
151,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Cephalanthus occidentalis,C0,1
152,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Quercus bicolor,C6,1
153,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Quercus palustris,C5,1
154,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Standing dead,C4,2
155,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Standing dead,C5,1
156,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Quercus bicolor,C9,1
157,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,3,Acer rubrum,C10,1
158,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,4,Acer rubrum,C5,3
159,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,4,Acer rubrum,C4,1
160,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,4,Acer rubrum,C6,3
161,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,4,Ulmus americana,C10,1
162,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,4,Acer rubrum,C8,1
163,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,5,Carya ovata,C9,1
164,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,5,Acer saccharum,C10,1
165,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,5,Ulmus americana,C8,1
166,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,5,Ostrya virginiana,C5,1
167,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,5,Standing dead,C4,1
168,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,5,Acer saccharum,C4,1
169,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,6,Fagus grandifolia,C1,2
170,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,6,Standing dead,C5,2
171,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,6,Cephalanthus occidentalis,C1,1
172,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,6,Cephalanthus occidentalis,C0,1
173,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,6,Quercus palustris,C3,1
174,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Quercus bicolor,C7,1
175,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Quercus palustris,C7,1
176,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Acer rubrum,C4,1
177,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Standing dead,C3,1
178,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Sassafras albidum,C5,1
179,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Cephalanthus occidentalis,C0,10
180,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Cephalanthus occidentalis,C1,14
181,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Cephalanthus occidentalis,C2,17
182,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,7,Cephalanthus occidentalis,C3,4
183,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Fagus grandifolia,C4,1
184,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Quercus bicolor,C4,1
185,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Quercus bicolor,C7,2
186,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Quercus palustris,C4,1
187,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Quercus bicolor,C3,2
188,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Quercus bicolor,C5,1
189,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Acer rubrum,C3,1
190,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Quercus bicolor,C2,1
191,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Rhamnus frangula,C3,1
192,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Acer rubrum,C4,1
193,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Standing dead,C4,1
194,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Standing dead,C2,1
195,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Cephalanthus occidentalis,C0,15
196,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Cephalanthus occidentalis,C1,26
197,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Cephalanthus occidentalis,C2,10
198,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Cephalanthus occidentalis,C3,17
199,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,8,Cephalanthus occidentalis,C4,1
200,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Ulmus americana,C5,1
201,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Quercus bicolor,C3,1
202,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Ulmus americana,C6,1
203,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Standing dead,C3,1
204,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Standing dead,C0,2
205,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Cephalanthus occidentalis,C0,13
206,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Cephalanthus occidentalis,C1,41
207,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Cephalanthus occidentalis,C2,10
208,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,9,Cephalanthus occidentalis,C3,6
209,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Quercus macrocarpa,C6,1
210,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Acer rubrum,C8,1
211,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Acer rubrum,C6,1
212,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Fagus grandifolia,C4,1
213,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Acer rubrum,C5,1
214,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Standing dead,C3,1
215,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Standing dead,C4,2
216,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Cephalanthus occidentalis,C0,7
217,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Cephalanthus occidentalis,C1,11
218,CUVAWetlnd2014Jul31,CUVAWetlnd155,683,10,Cephalanthus occidentalis,C2,1
219,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Ligustrum vulgare,C0,11
220,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Ligustrum vulgare,C1,102
221,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Ligustrum vulgare,C2,50
222,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Ligustrum vulgare,C3,17
223,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Ligustrum vulgare,C4,1
224,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Vitis riparia,C3,1
225,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Fraxinus pennsylvanica,C1,1
226,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Fraxinus pennsylvanica,C2,1
227,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Rosa multiflora,C0,3
228,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Rosa multiflora,C1,1
229,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Pyrus malus,C3,2
230,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,1,Pyrus malus,C4,1
231,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Rosa multiflora,C1,11
232,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Rosa multiflora,C2,19
233,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Rosa palustris,C0,1
234,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Rosa palustris,C2,1
235,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Ligustrum vulgare,C1,84
236,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Ligustrum vulgare,C2,16
237,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Lonicera sp.,C2,1
238,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Lonicera sp.,C3,2
239,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Lonicera sp.,C4,1
240,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Acer saccharum,C3,5
241,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Acer saccharum,C4,4
242,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Acer saccharum,C5,2
243,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Acer saccharum,C6,4
244,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Acer saccharum,C7,1
245,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Crataegus sp.,C2,1
246,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,2,Crataegus sp.,C4,1
247,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Acer saccharum,C3,2
248,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Acer saccharum,C7,1
249,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Ligustrum vulgare,C0,2
250,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Ligustrum vulgare,C1,92
251,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Ligustrum vulgare,C2,19
252,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Ligustrum vulgare,C3,4
253,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Ligustrum vulgare,C4,1
254,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Fraxinus pennsylvanica,C1,1
255,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Rosa multiflora,C0,6
256,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Rosa multiflora,C1,3
257,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Crataegus sp.,C6,1
258,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Ulmus americana,C6,1
259,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,3,Rosa palustris,C0,3
260,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Fraxinus pennsylvanica,C1,1
261,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Fraxinus pennsylvanica,C4,1
262,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Rosa multiflora,C0,4
263,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Rosa multiflora,C1,6
264,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Ligustrum vulgare,C1,33
265,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Ligustrum vulgare,C2,7
266,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Parthenocissus quinquefolia,C1,1
267,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Ulmus americana,C7,1
268,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Lindera benzoin,C3,2
269,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,4,Acer saccharum,C5,1
270,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Fraxinus pennsylvanica,C1,1
271,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Ligustrum vulgare,C0,10
272,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Ligustrum vulgare,C1,20
273,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Ligustrum vulgare,C2,11
274,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Ligustrum vulgare,C3,2
275,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Rosa multiflora,C0,9
276,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Rosa multiflora,C1,2
277,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,5,Ulmus americana,C5,1
278,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Rosa multiflora,C0,5
279,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Rosa multiflora,C1,2
280,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Ulmus americana,C4,1
281,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Ulmus americana,C5,1
282,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Ligustrum vulgare,C0,4
283,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Ligustrum vulgare,C1,7
284,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Ligustrum vulgare,C2,1
285,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Rosa virginiana,C0,1
286,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Acer saccharum,C3,1
287,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Fraxinus pennsylvanica,C8,1
288,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,6,Acer rubrum,C5,1
289,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,7,Rosa multiflora,C0,7
290,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,7,Rosa multiflora,C1,2
291,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,7,Ligustrum vulgare,C0,10
292,CUVAWetlnd2013Jul31,CUVAWetlnd146,977FP1,7,Ligustrum vulgare,C1,39
