MyDate,Time,Park,Site,Code,Cover,Notes,Creator,CreationDate,EditDate,x,y
5/30/2024,14:33,CUVA,CUVA_InvPla_203,GLHE2,4,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,LIVU,3,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,HEMA3,2,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,ALPE4,4,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,POCU6,4,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,ELUM,2,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,IRPS,2,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,MIVI,4,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,MYSC,2,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,BETH,3,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
5/30/2024,14:33,CUVA,CUVA_InvPla_203,LOMA6,2,,SBingham@nps.gov_nps,36:30.1,36:30.1,-81.58219872,41.31534958
6/4/2024,9:53,CUVA,CUVA_InvPla_317,BETH,3,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,ROMU,4,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,LOJA,4,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,ALPE4,3,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,MIVI,5,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,ELUM,2,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,LOMA6,2,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
6/4/2024,9:53,CUVA,CUVA_InvPla_317,LIVU,2,,SBingham@nps.gov_nps,54:40.3,54:40.3,-81.58454437,41.26731565
5/30/2024,16:17,CUVA,CUVA_InvPla_230,ROMU,4,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,HEMA3,3,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,MIVI,5,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,BETH,3,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,LYNU,2,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,ALPE4,2,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,LOJA,3,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/30/2024,16:17,CUVA,CUVA_InvPla_230,ELUM,2,,dmarcum@nps.gov_nps,19:40.4,19:40.4,-81.51790591,41.2324493
5/31/2024,7:52,CUVA,CUVA_InvPla_371,ROMU,5,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,FRAL4,5,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,ELUM,4,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,PHAR3,6,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,LOTA,2,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,MIVI,3,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,LIVU,3,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
5/31/2024,7:52,CUVA,CUVA_InvPla_371,SCAR7,2,,dmarcum@nps.gov_nps,54:03.2,54:03.2,-81.51792341,41.23243981
7/3/2024,15:45,CUVA,CUVA_InvPla_36,ALPE4,2,,dmarcum@nps.gov_nps,47:57.5,47:57.5,-81.51789428,41.23249097
7/3/2024,15:45,CUVA,CUVA_InvPla_36,MIVI,2,,dmarcum@nps.gov_nps,47:57.5,47:57.5,-81.51789428,41.23249097
7/3/2024,15:45,CUVA,CUVA_InvPla_36,ROMU,2,,dmarcum@nps.gov_nps,47:57.5,47:57.5,-81.51789428,41.23249097
7/3/2024,15:45,CUVA,CUVA_InvPla_36,BETH,4,,dmarcum@nps.gov_nps,47:57.5,47:57.5,-81.51789428,41.23249097
6/4/2024,10:51,CUVA,CUVA_InvPla_295,ROMU,4,,dmarcum@nps.gov_nps,52:09.1,52:09.1,-81.51786042,41.23242444
6/4/2024,10:51,CUVA,CUVA_InvPla_295,ALPE4,1,,dmarcum@nps.gov_nps,52:09.1,52:09.1,-81.51786042,41.23242444
6/4/2024,10:50,CUVA,CUVA_InvPla_296,ROMU,5,,dmarcum@nps.gov_nps,51:33.7,51:33.7,-81.51788308,41.23242652
6/4/2024,10:50,CUVA,CUVA_InvPla_296,LOJA,1,,dmarcum@nps.gov_nps,51:33.7,51:33.7,-81.51788308,41.23242652
6/4/2024,10:50,CUVA,CUVA_InvPla_296,BETH,3,,dmarcum@nps.gov_nps,51:33.7,51:33.7,-81.51788308,41.23242652
6/4/2024,10:50,CUVA,CUVA_InvPla_296,LIVU,1,,dmarcum@nps.gov_nps,51:33.7,51:33.7,-81.51788308,41.23242652
6/4/2024,10:50,CUVA,CUVA_InvPla_296,LYNU,3,,dmarcum@nps.gov_nps,51:33.7,51:33.7,-81.51788308,41.23242652
6/4/2024,10:50,CUVA,CUVA_InvPla_296,ALPE4,1,,dmarcum@nps.gov_nps,51:33.7,51:33.7,-81.51788308,41.23242652
7/2/2024,11:09,CUVA,CUVA_InvPla_281,ROMU,3,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,FRAL4,2,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,LOTA,3,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,DACA6,2,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,VETH,2,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,CIVU,1,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,ELUM,1,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,LOMA6,1,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,ALPE4,1,,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
7/2/2024,11:09,CUVA,CUVA_InvPla_281,MIVI,2,Coyote den near north end,SBingham@nps.gov_nps,11:57.3,11:57.3,-81.58127477,41.28008765
5/29/2024,15:17,CUVA,CUVA_InvPla_308,ROMU,4,,SBingham@nps.gov_nps,18:42.4,18:42.4,-81.81865383,41.18502995
5/29/2024,15:17,CUVA,CUVA_InvPla_308,BETH,4,,SBingham@nps.gov_nps,18:42.4,18:42.4,-81.81865383,41.18502995
5/29/2024,15:17,CUVA,CUVA_InvPla_308,MIVI,5,,SBingham@nps.gov_nps,18:42.4,18:42.4,-81.81865383,41.18502995
5/29/2024,15:17,CUVA,CUVA_InvPla_308,LIVU,2,,SBingham@nps.gov_nps,18:42.4,18:42.4,-81.81865383,41.18502995
7/3/2024,14:11,CUVA,CUVA_InvPla_253,DIFU2,2,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,LOMO2,2,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,PHAR3,6,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,CIAR4,3,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,ROMU,5,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,LOMA6,3,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,LYNU,4,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
7/3/2024,14:11,CUVA,CUVA_InvPla_253,MIVI,2,,SBingham@nps.gov_nps,14:54.3,14:54.3,-81.51793248,41.23240142
6/3/2024,15:39,CUVA,CUVA_InvPla_357,LIVU,1,,dmarcum@nps.gov_nps,40:20.8,40:20.8,-81.51790207,41.23248197
6/6/2024,14:12,CUVA,CUVA_InvPla_64,POCU6,5,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,PHAU7,5,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,PHAR3,5,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,CIAR4,2,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,IRPS,2,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,LYNU,3,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,MYSC,3,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,ROMU,2,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/6/2024,14:12,CUVA,CUVA_InvPla_64,LIVU,2,,SBingham@nps.gov_nps,14:53.3,14:53.3,-81.59888637,41.35397353
6/4/2024,11:02,CUVA,CUVA_InvPla_298,ROMU,5,,SBingham@nps.gov_nps,03:46.3,03:46.3,-81.58463168,41.27246432
6/4/2024,11:02,CUVA,CUVA_InvPla_298,SCAR7,3,,SBingham@nps.gov_nps,03:46.3,03:46.3,-81.58463168,41.27246432
6/4/2024,11:02,CUVA,CUVA_InvPla_298,LIVU,2,,SBingham@nps.gov_nps,03:46.3,03:46.3,-81.58463168,41.27246432
6/4/2024,11:02,CUVA,CUVA_InvPla_298,FRAL4,1,,SBingham@nps.gov_nps,03:46.3,03:46.3,-81.58463168,41.27246432
6/4/2024,11:02,CUVA,CUVA_InvPla_298,BETH,2,,SBingham@nps.gov_nps,03:46.3,03:46.3,-81.58463168,41.27246432
6/4/2024,11:02,CUVA,CUVA_InvPla_298,MIVI,2,,SBingham@nps.gov_nps,03:46.3,03:46.3,-81.58463168,41.27246432
7/2/2024,15:40,CUVA,CUVA_InvPla_43,PHAU7,4,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,ROMU,5,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,LIVU,5,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,LOMA6,5,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,CIAR4,2,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,PHAR3,5,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,MYSC,2,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,LYNU,2,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,HUJA,2,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,LOMO2,2,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,SEVA4,5,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,ELUM,4,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,PYCA80,3,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,DIFU2,3,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,TORI-H,1,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
7/2/2024,15:40,CUVA,CUVA_InvPla_43,RUCR,1,,dmarcum@nps.gov_nps,43:06.6,43:06.6,-81.5179123,41.23244283
6/27/2024,16:22,CUVA,CUVA_InvPla_118,CIAR4,3,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,ROMU,5,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,LOMA6,2,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,MIVI,4,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,ALPE4,4,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,LIVU,5,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,BETH,2,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,LOJA,3,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
6/27/2024,16:22,CUVA,CUVA_InvPla_118,HEMA3,1,,dmarcum@nps.gov_nps,23:59.1,23:59.1,-81.51786945,41.23244877
7/3/2024,10:23,CUVA,CUVA_InvPla_41,ELUM,7,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,ROMU,5,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,HOLA,3,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,FRAL4,3,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,RUCR,1,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,LOMA6,5,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,LOMO2,4,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,CEOR7,2,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,LIVU,2,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,ALPE4,2,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,BETH,1,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,HEMA3,1,Half line is impenetrable ,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
7/3/2024,10:23,CUVA,CUVA_InvPla_41,PHAU7,2,,SBingham@nps.gov_nps,25:31.4,29:43.3,-81.60230763,41.37186498
6/27/2024,16:15,CUVA,CUVA_InvPla_141,BETH,1,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,VETH,1,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,POPR,5,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,SCAR7,3,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,RUCR,1,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,LIVU,3,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,ROMU,5,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,ALPE4,2,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,LOMA6,3,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
6/27/2024,16:15,CUVA,CUVA_InvPla_141,HOLA,4,,dmarcum@nps.gov_nps,17:21.2,17:21.2,-81.51788533,41.23252223
5/29/2024,8:44,CUVA,CUVA_InvPla_270,HEMA3,2,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,ROMU,4,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,MIVI,5,Almost 6,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,LIVU,2,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,LYNU,3,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,PHAR3,2,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,LOMA6,4,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,MYSC,3,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,BETH,4,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
5/29/2024,8:44,CUVA,CUVA_InvPla_270,ALPE4,3,,dmarcum@nps.gov_nps,47:38.1,47:38.1,-81.56792502,41.29544415
6/6/2024,9:48,CUVA,CUVA_InvPla_27,PHAR3,3,,SBingham@nps.gov_nps,50:30.0,50:30.0,-81.6193778,41.36906993
6/6/2024,9:48,CUVA,CUVA_InvPla_27,ROMU,4,,SBingham@nps.gov_nps,50:30.0,50:30.0,-81.6193778,41.36906993
