VIBI_Herb_ID,EventID,LocationID,Species,ModNo,CovCode
148,CUVAWetlnd2015Jun23,CUVAWetlnd178,Moss sp.,1,3
149,CUVAWetlnd2015Jun23,CUVAWetlnd178,Cornus racemosa,1,2
150,CUVAWetlnd2015Jun23,CUVAWetlnd178,Polygonum virginianum,1,2
151,CUVAWetlnd2015Jun26,CUVAWetlnd179,Leersia virginica,2,8
152,CUVAWetlnd2015Jun26,CUVAWetlnd179,Leersia virginica,3,8
153,CUVAWetlnd2015Jun26,CUVAWetlnd179,Leersia virginica,6,5
154,CUVAWetlnd2015Jun26,CUVAWetlnd179,Leersia virginica,7,6
156,CUVAWetlnd2015Jun26,CUVAWetlnd179,Impatiens capensis,2,6
157,CUVAWetlnd2015Jun26,CUVAWetlnd179,Impatiens capensis,3,3
158,CUVAWetlnd2015Jun26,CUVAWetlnd179,Impatiens capensis,6,8
159,CUVAWetlnd2015Jun26,CUVAWetlnd179,Impatiens capensis,7,7
160,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex vulpinoidea,2,6
161,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex vulpinoidea,3,3
162,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex vulpinoidea,6,5
163,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex vulpinoidea,7,3
164,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex squarrosa,2,3
165,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex squarrosa,6,2
166,CUVAWetlnd2015Jun26,CUVAWetlnd179,Festuca pratensis,2,3
167,CUVAWetlnd2015Jun26,CUVAWetlnd179,Festuca pratensis,3,3
168,CUVAWetlnd2015Jun26,CUVAWetlnd179,Festuca pratensis,6,2
169,CUVAWetlnd2015Jun26,CUVAWetlnd179,Glyceria striata,2,4
170,CUVAWetlnd2015Jun26,CUVAWetlnd179,Glyceria striata,3,6
171,CUVAWetlnd2015Jun26,CUVAWetlnd179,Glyceria striata,6,8
172,CUVAWetlnd2015Jun26,CUVAWetlnd179,Glyceria striata,7,8
173,CUVAWetlnd2015Jun26,CUVAWetlnd179,Panicum dichotomum,2,3
174,CUVAWetlnd2015Jun26,CUVAWetlnd179,Panicum dichotomum,3,3
175,CUVAWetlnd2015Jun26,CUVAWetlnd179,Panicum dichotomum,7,2
176,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rosa multiflora,2,3
177,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rosa multiflora,3,3
178,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rosa multiflora,6,2
179,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rosa multiflora,7,4
180,CUVAWetlnd2015Jun26,CUVAWetlnd179,Ulmus americana,2,5
181,CUVAWetlnd2015Jun26,CUVAWetlnd179,Ulmus americana,3,6
182,CUVAWetlnd2015Jun26,CUVAWetlnd179,Acer rubrum,2,1
183,CUVAWetlnd2015Jun26,CUVAWetlnd179,Acer rubrum,6,3
184,CUVAWetlnd2015Jun26,CUVAWetlnd179,Moss sp.,2,4
185,CUVAWetlnd2015Jun26,CUVAWetlnd179,Moss sp.,3,2
186,CUVAWetlnd2015Jun26,CUVAWetlnd179,Moss sp.,6,3
187,CUVAWetlnd2015Jun26,CUVAWetlnd179,Moss sp.,7,4
188,CUVAWetlnd2015Jun26,CUVAWetlnd179,Fraxinus pennsylvanica,2,3
189,CUVAWetlnd2015Jun26,CUVAWetlnd179,Fraxinus pennsylvanica,3,5
191,CUVAWetlnd2015Jun26,CUVAWetlnd179,Fraxinus pennsylvanica,6,4
192,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex radiata,2,3
193,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex radiata,3,2
194,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex radiata,6,2
195,CUVAWetlnd2015Jun26,CUVAWetlnd179,Holcus lanatus,2,2
196,CUVAWetlnd2015Jun26,CUVAWetlnd179,Holcus lanatus,3,3
197,CUVAWetlnd2015Jun26,CUVAWetlnd179,Holcus lanatus,6,2
198,CUVAWetlnd2015Jun26,CUVAWetlnd179,Holcus lanatus,7,2
199,CUVAWetlnd2015Jun26,CUVAWetlnd179,Toxicodendron radicans,2,3
200,CUVAWetlnd2015Jun26,CUVAWetlnd179,Toxicodendron radicans,3,2
201,CUVAWetlnd2015Jun26,CUVAWetlnd179,Toxicodendron radicans,6,2
202,CUVAWetlnd2015Jun26,CUVAWetlnd179,Toxicodendron radicans,7,3
203,CUVAWetlnd2015Jun26,CUVAWetlnd179,Crataegus sp.,2,6
204,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rubus occidentalis,2,2
205,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rubus occidentalis,3,2
206,CUVAWetlnd2015Jun26,CUVAWetlnd179,Parthenocissus quinquefolia,2,3
207,CUVAWetlnd2015Jun26,CUVAWetlnd179,Parthenocissus quinquefolia,3,2
208,CUVAWetlnd2015Jun26,CUVAWetlnd179,Parthenocissus quinquefolia,6,2
209,CUVAWetlnd2015Jun26,CUVAWetlnd179,Parthenocissus quinquefolia,7,2
210,CUVAWetlnd2015Jun26,CUVAWetlnd179,Juncus effusus,2,3
211,CUVAWetlnd2015Jun26,CUVAWetlnd179,Juncus effusus,3,2
212,CUVAWetlnd2015Jun26,CUVAWetlnd179,Juncus effusus,6,3
213,CUVAWetlnd2015Jun26,CUVAWetlnd179,Juncus effusus,7,3
214,CUVAWetlnd2015Jun26,CUVAWetlnd179,Penstemon digitalis,2,3
215,CUVAWetlnd2015Jun26,CUVAWetlnd179,Penstemon digitalis,6,2
216,CUVAWetlnd2015Jun26,CUVAWetlnd179,Penstemon digitalis,7,2
217,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carya ovata,2,2
218,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carya ovata,3,5
219,CUVAWetlnd2015Jun26,CUVAWetlnd179,Agrostis stolonifera,2,3
220,CUVAWetlnd2015Jun26,CUVAWetlnd179,Agrostis stolonifera,3,2
221,CUVAWetlnd2015Jun26,CUVAWetlnd179,Agrostis stolonifera,6,2
222,CUVAWetlnd2015Jun26,CUVAWetlnd179,Agrostis stolonifera,7,1
223,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cinna arundinacea,2,2
224,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cinna arundinacea,3,2
225,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cinna arundinacea,6,2
226,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cinna arundinacea,7,2
227,CUVAWetlnd2015Jun26,CUVAWetlnd179,Fragaria virginiana,2,2
228,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rhamnus frangula,2,3
229,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rhamnus frangula,3,2
230,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rhamnus frangula,6,2
231,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rhamnus frangula,7,4
232,CUVAWetlnd2015Jun26,CUVAWetlnd179,Epilobium coloratum,2,2
233,CUVAWetlnd2015Jun26,CUVAWetlnd179,Epilobium coloratum,3,2
234,CUVAWetlnd2015Jun26,CUVAWetlnd179,Epilobium coloratum,6,2
235,CUVAWetlnd2015Jun26,CUVAWetlnd179,Epilobium coloratum,7,2
236,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex hirsutella,2,2
237,CUVAWetlnd2015Jun26,CUVAWetlnd179,Aster lanceolatus,2,3
238,CUVAWetlnd2015Jun26,CUVAWetlnd179,Aster lanceolatus,3,2
239,CUVAWetlnd2015Jun26,CUVAWetlnd179,Aster lanceolatus,6,2
244,CUVAWetlnd2015Jun26,CUVAWetlnd179,Apocynum cannabinum,2,1
245,CUVAWetlnd2015Jun26,CUVAWetlnd179,Apocynum cannabinum,3,2
246,CUVAWetlnd2015Jun26,CUVAWetlnd179,Apocynum cannabinum,6,2
247,CUVAWetlnd2015Jun26,CUVAWetlnd179,Lycopus virginicus,2,4
248,CUVAWetlnd2015Jun26,CUVAWetlnd179,Lycopus virginicus,3,5
249,CUVAWetlnd2015Jun26,CUVAWetlnd179,Lycopus virginicus,6,4
250,CUVAWetlnd2015Jun26,CUVAWetlnd179,Lycopus virginicus,7,3
251,CUVAWetlnd2015Jun26,CUVAWetlnd179,Solidago rugosa,2,2
252,CUVAWetlnd2015Jun26,CUVAWetlnd179,Solidago rugosa,6,3
253,CUVAWetlnd2015Jun26,CUVAWetlnd179,Solidago rugosa,7,3
254,CUVAWetlnd2015Jun26,CUVAWetlnd179,Veronica officinalis,2,1
255,CUVAWetlnd2015Jun26,CUVAWetlnd179,Veronica officinalis,6,1
256,CUVAWetlnd2015Jun26,CUVAWetlnd179,Veronica officinalis,7,2
257,CUVAWetlnd2015Jun26,CUVAWetlnd179,Potentilla simplex,2,2
258,CUVAWetlnd2015Jun26,CUVAWetlnd179,Potentilla simplex,3,3
259,CUVAWetlnd2015Jun26,CUVAWetlnd179,Potentilla simplex,6,3
260,CUVAWetlnd2015Jun26,CUVAWetlnd179,Potentilla simplex,7,2
261,CUVAWetlnd2015Jun26,CUVAWetlnd179,Pycnanthemum tenuifolium,2,1
262,CUVAWetlnd2015Jun26,CUVAWetlnd179,Onoclea sensibilis,2,2
263,CUVAWetlnd2015Jun26,CUVAWetlnd179,Onoclea sensibilis,6,4
264,CUVAWetlnd2015Jun26,CUVAWetlnd179,Onoclea sensibilis,7,2
265,CUVAWetlnd2015Jun26,CUVAWetlnd179,Dryopteris carthusiana,2,2
266,CUVAWetlnd2015Jun26,CUVAWetlnd179,Dryopteris carthusiana,3,2
267,CUVAWetlnd2015Jun26,CUVAWetlnd179,Dryopteris carthusiana,6,2
268,CUVAWetlnd2015Jun26,CUVAWetlnd179,Dryopteris carthusiana,7,2
269,CUVAWetlnd2015Jun26,CUVAWetlnd179,Galium tinctorium,2,2
270,CUVAWetlnd2015Jun26,CUVAWetlnd179,Galium tinctorium,6,2
271,CUVAWetlnd2015Jun26,CUVAWetlnd179,Galium tinctorium,7,1
272,CUVAWetlnd2015Jun26,CUVAWetlnd179,Bidens connata,2,2
273,CUVAWetlnd2015Jun26,CUVAWetlnd179,Acer x freemanii,2,4
274,CUVAWetlnd2015Jun26,CUVAWetlnd179,Oxalis stricta,2,1
275,CUVAWetlnd2015Jun26,CUVAWetlnd179,Oxalis stricta,3,1
276,CUVAWetlnd2015Jun26,CUVAWetlnd179,Oxalis stricta,7,1
277,CUVAWetlnd2015Jun26,CUVAWetlnd179,Scirpus hattorianus,2,2
278,CUVAWetlnd2015Jun26,CUVAWetlnd179,Scirpus hattorianus,7,2
279,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cornus racemosa,2,1
280,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cornus racemosa,6,3
281,CUVAWetlnd2015Jun26,CUVAWetlnd179,Cornus racemosa,7,2
282,CUVAWetlnd2015Jun26,CUVAWetlnd179,Poa compressa,2,2
283,CUVAWetlnd2015Jun26,CUVAWetlnd179,Poa compressa,3,3
284,CUVAWetlnd2015Jun26,CUVAWetlnd179,Aster lateriflorus,2,2
285,CUVAWetlnd2015Jun26,CUVAWetlnd179,Aster lateriflorus,3,3
286,CUVAWetlnd2015Jun26,CUVAWetlnd179,Aster lateriflorus,6,2
287,CUVAWetlnd2015Jun26,CUVAWetlnd179,Geum canadense,2,2
288,CUVAWetlnd2015Jun26,CUVAWetlnd179,Geum canadense,3,2
289,CUVAWetlnd2015Jun26,CUVAWetlnd179,Geum canadense,6,2
290,CUVAWetlnd2015Jun26,CUVAWetlnd179,Geum canadense,7,2
291,CUVAWetlnd2015Jun26,CUVAWetlnd179,Acer saccharum,2,1
292,CUVAWetlnd2015Jun26,CUVAWetlnd179,Elymus virginicus,2,3
295,CUVAWetlnd2015Jun26,CUVAWetlnd179,Taraxacum officinale,2,1
296,CUVAWetlnd2015Jun26,CUVAWetlnd179,Liriodendron tulipifera,3,1
297,CUVAWetlnd2015Jun26,CUVAWetlnd179,Elymus hystrix,3,2
298,CUVAWetlnd2015Jun26,CUVAWetlnd179,Elymus hystrix,6,2
299,CUVAWetlnd2015Jun26,CUVAWetlnd179,Viburnum dentatum,3,1
300,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex normalis,3,2
301,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex normalis,6,3
302,CUVAWetlnd2015Jun26,CUVAWetlnd179,Carex normalis,7,2
303,CUVAWetlnd2015Jun26,CUVAWetlnd179,Torilis japonica,3,1
304,CUVAWetlnd2015Jun26,CUVAWetlnd179,Hypericum punctatum,3,2
305,CUVAWetlnd2015Jun26,CUVAWetlnd179,Crataegus sp.,3,2
306,CUVAWetlnd2015Jun26,CUVAWetlnd179,Calystegia sepium,3,2
307,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rubus flagellaris,3,3
308,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rubus flagellaris,6,4
309,CUVAWetlnd2015Jun26,CUVAWetlnd179,Rubus flagellaris,7,3
310,CUVAWetlnd2015Jun26,CUVAWetlnd179,Quercus velutina,3,1
311,CUVAWetlnd2015Jun26,CUVAWetlnd179,Quercus palustris,3,1
312,CUVAWetlnd2015Jun26,CUVAWetlnd179,Fraxinus americana,3,4
313,CUVAWetlnd2015Jun26,CUVAWetlnd179,Spiraea tomentosa,6,4
314,CUVAWetlnd2015Jun26,CUVAWetlnd179,Spiraea tomentosa,7,2
315,CUVAWetlnd2015Jun26,CUVAWetlnd179,Galium triflorum,3,2
316,CUVAWetlnd2015Jun26,CUVAWetlnd179,Galium triflorum,6,2
317,CUVAWetlnd2015Jun26,CUVAWetlnd179,Galium triflorum,7,2
318,CUVAWetlnd2015Jun26,CUVAWetlnd179,Senecio glabellus,6,1
319,CUVAWetlnd2015Jun26,CUVAWetlnd179,Malus baccata,7,5
320,CUVAWetlnd2015Jun26,CUVAWetlnd179,Polygonum virginianum,6,2
321,CUVAWetlnd2015Jun26,CUVAWetlnd179,Polygonum virginianum,7,2
322,CUVAWetlnd2015Jun26,CUVAWetlnd179,Anthoxanthum odoratum,7,2
323,CUVAWetlnd2015Jun26,CUVAWetlnd179,Berberis thunbergii,7,2
324,CUVAWetlnd2015Jun26,CUVAWetlnd179,Podophyllum peltatum,7,2
325,CUVAWetlnd2015Jun26,CUVAWetlnd179,Danthonia spicata,7,2
326,CUVAWetlnd2015Jun26,CUVAWetlnd179,Linum perenne,7,2
327,CUVAWetlnd2015Jun26,CUVAWetlnd179,Polygonum persicaria,7,2
329,CUVAWetlnd2015Jun18,CUVAWetlnd180,Onoclea sensibilis,1,4
330,CUVAWetlnd2015Jun18,CUVAWetlnd180,Onoclea sensibilis,2,4
331,CUVAWetlnd2015Jun18,CUVAWetlnd180,Onoclea sensibilis,3,3
332,CUVAWetlnd2015Jun18,CUVAWetlnd180,Onoclea sensibilis,4,4
333,CUVAWetlnd2015Jun18,CUVAWetlnd180,Ranunculus hispidus,1,6
334,CUVAWetlnd2015Jun18,CUVAWetlnd180,Ranunculus hispidus,2,5
335,CUVAWetlnd2015Jun18,CUVAWetlnd180,Ranunculus hispidus,3,4
336,CUVAWetlnd2015Jun18,CUVAWetlnd180,Ranunculus hispidus,4,2
337,CUVAWetlnd2015Jun18,CUVAWetlnd180,Juncus effusus,1,3
338,CUVAWetlnd2015Jun18,CUVAWetlnd180,Juncus effusus,2,4
339,CUVAWetlnd2015Jun18,CUVAWetlnd180,Juncus effusus,3,2
340,CUVAWetlnd2015Jun18,CUVAWetlnd180,Juncus effusus,4,2
341,CUVAWetlnd2015Jun18,CUVAWetlnd180,Cornus racemosa,1,6
342,CUVAWetlnd2015Jun18,CUVAWetlnd180,Cornus racemosa,2,5
343,CUVAWetlnd2015Jun18,CUVAWetlnd180,Cornus racemosa,3,4
344,CUVAWetlnd2015Jun18,CUVAWetlnd180,Cornus racemosa,4,4
346,CUVAWetlnd2015Jun18,CUVAWetlnd180,Rosa multiflora,1,4
347,CUVAWetlnd2015Jun18,CUVAWetlnd180,Rosa multiflora,2,4
348,CUVAWetlnd2015Jun18,CUVAWetlnd180,Rosa multiflora,3,6
349,CUVAWetlnd2015Jun18,CUVAWetlnd180,Rosa multiflora,4,7
350,CUVAWetlnd2015Jun18,CUVAWetlnd180,Parthenocissus quinquefolia,1,3
351,CUVAWetlnd2015Jun18,CUVAWetlnd180,Parthenocissus quinquefolia,2,4
352,CUVAWetlnd2015Jun18,CUVAWetlnd180,Parthenocissus quinquefolia,4,3
353,CUVAWetlnd2015Jun18,CUVAWetlnd180,Solidago rugosa,1,2
354,CUVAWetlnd2015Jun18,CUVAWetlnd180,Solidago rugosa,2,2
355,CUVAWetlnd2015Jun18,CUVAWetlnd180,Solidago rugosa,3,2
